"Address","Status Code","Title 1","Content Type","Status","Indexability","Indexability Status","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","category 1","product 1","URL Encoded Address","Crawl Timestamp"
"https://www.coxandcox.co.uk/dip-glaze-table-lamp-large/","200","Dip Glaze Table Lamp - Large","text/html; charset=UTF-8","OK","Indexable","","28","266","","0","0","","","","","","Dip Glaze Table Lamp - Large","28","","0","","","","","","https://www.coxandcox.co.uk/dip-glaze-table-lamp-large/","","","","","","","","","3","","18","6","0.150","394","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/dip-glaze-table-lamp-large/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/soft-furnishings/throws","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","2","2","0.050","0","0","","","","","","","","","","https://www.coxandcox.co.uk/soft-furnishings/throws/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/soft-furnishings/throws","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/flat-rattan-high-stool","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","2","2","0.050","0","0","","","","","","","","","","https://www.coxandcox.co.uk/flat-rattan-high-stool/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/flat-rattan-high-stool","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/zanele-rug/","200","Zanele Rug","text/html; charset=UTF-8","OK","Indexable","","10","100","","0","0","","","","","","Zanele Rug","10","","0","","","","","","https://www.coxandcox.co.uk/zanele-rug/","","","","","","","","","3","","16","5","0.120","393","252","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/zanele-rug/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/?p=6","200","Gifts - Decorative Home - Indoor Living","text/html; charset=UTF-8","OK","Non-Indexable","Canonicalised","39","342","","0","0","","","","","","GIFTS","5","GIFTS","5","","","","","","https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/","","","","","","","","","3","","19","5","0.120","509","296","","","","","","","","","","","","","HTTP/1.1","Filter Bowls, Dishes & Trinket Boxes Candles & Holders Clocks Faux Plants & Flowers Indoor Planting Kitchen Accessories & Tableware Photo Frames Trinket Boxes & Dishes Ornaments Vases Wall Art Bathroom Accessories Home Office Kids Gifts","","https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/?p=6","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/black-stripes-ceramic-table-lamp/","200","Black Stripes Ceramic Table Lamp","text/html; charset=UTF-8","OK","Indexable","","32","305","","0","0","","","","","","Black Stripes Ceramic Table Lamp","32","","0","","","","","","https://www.coxandcox.co.uk/black-stripes-ceramic-table-lamp/","","","","","","","","","3","","16","5","0.120","395","254","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/black-stripes-ceramic-table-lamp/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/cross-stitch-cushion-blush/","200","Cross Stitch Cushion - Blush","text/html; charset=UTF-8","OK","Indexable","","28","248","","0","0","","","","","","Cross Stitch Cushion - Blush","28","","0","","","","","","https://www.coxandcox.co.uk/cross-stitch-cushion-blush/","","","","","","","","","3","","15","5","0.120","394","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/cross-stitch-cushion-blush/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/textured-chevron-lamp/","200","Textured Chevron Lamp","text/html; charset=UTF-8","OK","Indexable","","21","210","","0","0","","","","","","Textured Chevron Lamp","21","","0","","","","","","https://www.coxandcox.co.uk/textured-chevron-lamp/","","","","","","","","","3","","16","5","0.120","394","253","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/textured-chevron-lamp/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/matte-grey-table-lamp/","200","Matte Grey Table Lamp","text/html; charset=UTF-8","OK","Indexable","","21","211","","0","0","","","","","","Matte Grey Table Lamp","21","","0","","","","","","https://www.coxandcox.co.uk/matte-grey-table-lamp/","","","","","","","","","3","","18","6","0.150","394","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/matte-grey-table-lamp/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/new-abstract-nude-framed-print/","200","Abstract Nude Framed Print","text/html; charset=UTF-8","OK","Indexable","","26","245","","0","0","","","","","","Abstract Nude Framed Print","26","","0","","","","","","https://www.coxandcox.co.uk/new-abstract-nude-framed-print/","","","","","","","","","3","","16","5","0.120","394","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/new-abstract-nude-framed-print/","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/fez-printed-bedside-rug/","200","Fez Printed Bedside Rug","text/html; charset=UTF-8","OK","Indexable","","23","218","","0","0","","","","","","Fez Printed Bedside Rug","23","","0","","","","","","https://www.coxandcox.co.uk/fez-printed-bedside-rug/","","","","","","","","","3","","16","5","0.120","395","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/fez-printed-bedside-rug/","2021-09-08 16:19:05"
"https://www.coxandcox.co.uk/new-monochrome-striped-table-lamp/","200","Monochrome Striped Table Lamp","text/html; charset=UTF-8","OK","Indexable","","29","293","","0","0","","","","","","Monochrome Striped Table Lamp","29","","0","","","","","","https://www.coxandcox.co.uk/new-monochrome-striped-table-lamp/","","","","","","","","","3","","16","5","0.120","394","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/new-monochrome-striped-table-lamp/","2021-09-08 16:19:05"
"https://www.coxandcox.co.uk/ezra-rug/","200","Ezra Rug","text/html; charset=UTF-8","OK","Indexable","","8","81","","0","0","","","","","","Ezra Rug","8","","0","","","","","","https://www.coxandcox.co.uk/ezra-rug/","","","","","","","","","3","","24","9","0.220","395","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/ezra-rug/","2021-09-08 16:19:05"
"https://www.coxandcox.co.uk/two-resist-glaze-bud-vases/","200","Two Resist Glaze Bud Vases","text/html; charset=UTF-8","OK","Indexable","","26","257","","0","0","","","","","","Two Resist Glaze Bud Vases","26","","0","","","","","","https://www.coxandcox.co.uk/two-resist-glaze-bud-vases/","","","","","","","","","3","","16","5","0.120","394","252","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/two-resist-glaze-bud-vases/","2021-09-08 16:19:05"
"https://www.coxandcox.co.uk/round-mandala-rug-border/","200","Round Mandala Rug - Border","text/html; charset=UTF-8","OK","Indexable","","26","257","","0","0","","","","","","Round Mandala Rug - Border","26","","0","","","","","","https://www.coxandcox.co.uk/round-mandala-rug-border/","","","","","","","","","3","","16","5","0.120","395","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/round-mandala-rug-border/","2021-09-08 16:19:06"
"https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/?p=7","200","Gifts - Decorative Home - Indoor Living","text/html; charset=UTF-8","OK","Non-Indexable","Canonicalised","39","342","","0","0","","","","","","GIFTS","5","GIFTS","5","","","","","","https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/","","","","","","","","","3","","19","5","0.120","509","296","","","","","","","","","","","","","HTTP/1.1","Filter Bowls, Dishes & Trinket Boxes Candles & Holders Clocks Faux Plants & Flowers Indoor Planting Kitchen Accessories & Tableware Photo Frames Trinket Boxes & Dishes Ornaments Vases Wall Art Bathroom Accessories Home Office Kids Gifts","","https://www.coxandcox.co.uk/indoor-living/decorative-home/gifts/?p=7","2021-09-08 16:19:03"
